player,goals,assists,games_starts,cards_yellow,cards_red,passes_completed,touches,shots,offsides,tackles,fouls,dispossessed,own_goals,clearances,team
Aaron Mooy,0,0,4.0,1,0,170.0,255.0,1,0,9.0,4,4.0,0,9.0,Australia
Aaron Ramsey,0,0,3.0,1,0,88.0,147.0,1,0,2.0,3,4.0,0,2.0,Wales
Abdelhamid Sabiri,0,1,2.0,1,0,45.0,86.0,3,0,3.0,2,3.0,0,3.0,Morocco
Abdelkarim Hassan,0,0,3.0,0,0,122.0,193.0,6,1,7.0,1,0.0,0,5.0,Qatar
Abderrazak Hamdallah,0,0,,0,0,8.0,28.0,2,0,0.0,3,3.0,0,2.0,Morocco
Abdessamad Ezzalzouli,0,0,,0,0,10.0,40.0,1,0,3.0,4,1.0,0,3.0,Morocco
Abdou Diallo,0,0,4.0,0,0,139.0,210.0,1,0,2.0,3,2.0,0,10.0,Senegal
Abdulaziz Hatem,0,0,2.0,0,0,72.0,98.0,1,0,1.0,4,1.0,0,0.0,Qatar
Abdulelah Al-Amri,0,0,2.0,2,0,74.0,129.0,1,0,1.0,3,0.0,0,10.0,Saudi Arabia
Abdulellah Al-Malki,0,0,2.0,2,0,66.0,105.0,2,0,3.0,8,0.0,0,4.0,Saudi Arabia
Abdullah Madu,0,0,,1,0,5.0,19.0,0,0,1.0,1,0.0,0,2.0,Saudi Arabia
Abdulrahman Al-Aboud,0,0,,0,0,8.0,22.0,1,0,3.0,0,0.0,0,0.0,Saudi Arabia
Abolfazl Jalali,0,0,,1,0,20.0,34.0,0,0,0.0,1,1.0,0,1.0,IR Iran
Achraf Dari,1,0,2.0,1,0,99.0,139.0,1,0,1.0,2,1.0,0,9.0,Morocco
Achraf Hakimi,0,1,7.0,0,0,312.0,478.0,4,0,26.0,6,8.0,0,12.0,Morocco
Adrien Rabiot,1,1,5.0,1,0,237.0,350.0,9,0,12.0,10,7.0,0,6.0,France
Agustín Canobbio,0,0,,0,0,5.0,11.0,0,0,1.0,0,0.0,0,0.0,Uruguay
Ahmad Nourollahi,0,0,3.0,0,0,35.0,85.0,5,0,4.0,2,0.0,0,8.0,IR Iran
Ahmed Alaaeldin,0,0,,0,0,0.0,2.0,0,0,0.0,0,0.0,0,0.0,Qatar
Aimen Dahmen,0,0,3.0,0,0,48.0,82.0,0,0,0.0,0,0.0,0,2.0,Tunisia
Ajdin Hrustic,0,0,,0,0,17.0,32.0,1,0,2.0,1,1.0,0,1.0,Australia
Akram Afif,0,0,3.0,1,0,139.0,181.0,2,1,0.0,2,5.0,0,0.0,Qatar
Alan Franco,0,0,1.0,0,0,10.0,16.0,0,0,1.0,0,0.0,0,1.0,Ecuador
Alejandro Balde,0,0,1.0,0,0,112.0,135.0,1,0,6.0,2,3.0,0,2.0,Spain
Aleksandar Mitrović,2,0,3.0,1,0,54.0,95.0,10,1,1.0,3,3.0,0,1.0,Serbia
Alex Sandro,0,0,2.0,0,0,150.0,193.0,1,0,8.0,3,0.0,0,9.0,Brazil
Alex Telles,0,0,1.0,0,0,33.0,46.0,0,0,2.0,1,0.0,0,1.0,Brazil
Alexander Bah,0,0,,0,0,37.0,65.0,2,0,4.0,1,0.0,0,0.0,Denmark
Alexander Djiku,0,0,1.0,0,0,22.0,43.0,0,0,1.0,0,0.0,0,9.0,Ghana
Alexis Mac Allister,1,1,6.0,0,0,234.0,332.0,7,0,9.0,1,8.0,0,6.0,Argentina
Alexis Vega,0,0,3.0,0,0,40.0,85.0,9,4,0.0,2,8.0,0,2.0,Mexico
